POOLED exp2 over 3 seeds (T=1500 trials/cell). z = mean(err_x^2 - err_raw^2)/SE

       arm      m    n/m     d |  rmse_raw rmse_clip  rmse_tpm |  dCLIP%   dTPM% |   z_clip    z_tpm |  bind%
     ideal   1024   1.00  1.02 |   0.02531   0.02066   0.02126 |   18.38   15.98 |   -12.70    -8.98 |  19.53
     ideal   1024   1.00  1.10 |   0.02469   0.02469   0.02339 |    0.00    5.25 |     0.00   -12.34 |   0.00
     ideal   1024   2.00  1.00 |   0.02576   0.01712   0.02828 |   33.57   -9.76 |   -17.13     5.38 |  50.93
     ideal   1024   2.00  1.02 |   0.02619   0.02068   0.02089 |   21.02   20.21 |   -13.30   -10.53 |  24.60
     ideal   1024   2.00  1.10 |   0.02549   0.02547   0.02406 |    0.06    5.57 |    -1.00   -10.63 |   0.07
     ideal   1024   4.00  1.00 |   0.02936   0.01934   0.02925 |   34.12    0.37 |   -17.50    -0.20 |  51.67
     ideal   1024   4.00  1.02 |   0.02880   0.02251   0.02270 |   21.85   21.18 |   -12.60   -10.65 |  25.00
     ideal   1024   4.00  1.10 |   0.02871   0.02871   0.02689 |    0.00    6.36 |     0.00   -13.82 |   0.00
     ideal   1024   8.00  1.00 |   0.03012   0.02152   0.03077 |   28.53   -2.17 |   -16.70     1.32 |  48.60
     ideal   1024   8.00  1.02 |   0.03050   0.02380   0.02405 |   21.95   21.15 |   -13.07   -11.10 |  23.73
     ideal   1024   8.00  1.10 |   0.03001   0.03000   0.02839 |    0.06    5.42 |    -1.00   -11.98 |   0.07
     ideal   1024  16.00  1.00 |   0.03192   0.02125   0.03041 |   33.43    4.75 |   -17.24    -2.58 |  49.47
     ideal   1024  16.00  1.02 |   0.03164   0.02351   0.02334 |   25.68   26.24 |   -14.41   -13.01 |  27.13
     ideal   1024  16.00  1.10 |   0.03215   0.03211   0.03005 |    0.13    6.53 |    -1.00   -11.88 |   0.07
     ideal   1024  32.00  1.00 |   0.03226   0.02158   0.03052 |   33.10    5.39 |   -15.97    -2.77 |  51.13
     ideal   1024  32.00  1.02 |   0.03259   0.02590   0.02585 |   20.53   20.68 |   -13.18   -11.78 |  25.27
     ideal   1024  32.00  1.10 |   0.03201   0.03198   0.03016 |    0.10    5.77 |    -1.81   -11.44 |   0.27
     ideal   4096   0.05  1.00 |   0.01124   0.00849   0.01438 |   24.48  -27.86 |   -19.67    21.83 |  59.67
     ideal   4096   0.05  1.02 |   0.01103   0.01088   0.00889 |    1.30   19.42 |    -5.36   -16.44 |   3.73
     ideal   4096   0.05  1.10 |   0.01124   0.01124   0.01125 |    0.00   -0.09 |     0.00     1.42 |   0.00
     ideal   4096   0.10  1.00 |   0.01086   0.00785   0.01407 |   27.67  -29.59 |   -19.11    20.75 |  47.53
     ideal   4096   0.10  1.02 |   0.01111   0.01083   0.00888 |    2.51   20.10 |    -5.32   -14.96 |   3.27
     ideal   4096   0.10  1.10 |   0.01121   0.01121   0.01122 |    0.00   -0.02 |     0.00     0.39 |   0.00
     ideal   4096   0.25  1.00 |   0.01150   0.00840   0.01438 |   26.94  -25.07 |   -18.33    17.37 |  47.67
     ideal   4096   0.25  1.02 |   0.01142   0.01114   0.00914 |    2.48   19.98 |    -5.73   -15.26 |   3.60
     ideal   4096   0.25  1.10 |   0.01159   0.01159   0.01161 |    0.00   -0.15 |     0.00     2.58 |   0.00
     ideal   4096   0.50  1.00 |   0.01219   0.00870   0.01452 |   28.62  -19.03 |   -17.04    11.91 |  48.27
     ideal   4096   0.50  1.02 |   0.01212   0.01146   0.00924 |    5.44   23.74 |    -7.02   -14.86 |   5.87
     ideal   4096   0.50  1.10 |   0.01184   0.01184   0.01185 |    0.00   -0.08 |     0.00     1.45 |   0.00
     ideal   4096   1.00  1.00 |   0.01250   0.00863   0.01443 |   30.98  -15.44 |   -17.32     9.22 |  47.13
     ideal   4096   1.00  1.02 |   0.01302   0.01228   0.01002 |    5.72   23.07 |    -6.79   -15.58 |   4.20
     ideal   4096   1.00  1.10 |   0.01269   0.01269   0.01270 |    0.00   -0.07 |     0.00     1.31 |   0.00
     ideal   4096   2.00  1.00 |   0.01316   0.00880   0.01436 |   33.14   -9.15 |   -17.74     5.24 |  52.80
     ideal   4096   2.00  1.02 |   0.01278   0.01203   0.00956 |    5.88   25.23 |    -7.02   -15.87 |   6.27
     ideal   4096   2.00  1.10 |   0.01355   0.01355   0.01357 |    0.00   -0.17 |     0.00     3.32 |   0.00
     ideal   4096   4.00  1.00 |   0.01428   0.00965   0.01482 |   32.40   -3.81 |   -18.08     2.24 |  51.20
     ideal   4096   4.00  1.02 |   0.01489   0.01337   0.01057 |   10.22   29.06 |    -9.20   -16.77 |  10.47
     ideal   4096   4.00  1.10 |   0.01458   0.01458   0.01460 |    0.00   -0.14 |     0.00     3.10 |   0.00
     ideal   4096   8.00  1.00 |   0.01471   0.01056   0.01544 |   28.23   -4.91 |   -17.19     3.10 |  48.27
