exp1 real-hash  (m=1024, T=1000, seed=31337)
All RMSE/bias relative to true n.

           arm      n     d |  rmse_raw rmse_clip  rmse_tpm |  dCLIP%   dTPM% |  z_clip   z_tpm |  bind%
    ints-xxh64  32000  1.10 |   0.03107   0.03107   0.02980 |    0.00    4.08 |     0.0   -12.4 |   0.00
    ints-xxh64  32000  2.00 |   0.03234   0.03234   0.03215 |    0.00    0.60 |     0.0    -5.9 |   0.00
     ints-mmh3   2000  1.00 |   0.03155   0.02088   0.03014 |   33.84    4.49 |   -14.3    -2.0 |  52.00
     ints-mmh3   2000  1.02 |   0.03135   0.02430   0.02412 |   22.49   23.08 |   -11.4   -10.2 |  26.50
     ints-mmh3   2000  1.10 |   0.03248   0.03236   0.02999 |    0.37    7.67 |    -1.6    -9.4 |   0.30
     ints-mmh3   2000  2.00 |   0.03208   0.03208   0.03220 |    0.00   -0.40 |     0.0     3.8 |   0.00
     ints-mmh3   8000  1.00 |   0.02961   0.02112   0.03064 |   28.67   -3.49 |   -13.8     1.7 |  47.20
     ints-mmh3   8000  1.02 |   0.03083   0.02425   0.02444 |   21.36   20.73 |   -11.3    -9.5 |  24.70
     ints-mmh3   8000  1.10 |   0.03087   0.03077   0.02885 |    0.33    6.56 |    -1.1    -8.2 |   0.20
     ints-mmh3   8000  2.00 |   0.03043   0.03043   0.03043 |    0.00    0.01 |     0.0    -0.1 |   0.00
     ints-mmh3  32000  1.00 |   0.03313   0.02295   0.03142 |   30.74    5.17 |   -14.4    -2.5 |  49.20
     ints-mmh3  32000  1.02 |   0.03115   0.02452   0.02445 |   21.28   21.53 |   -11.8   -10.3 |  25.90
     ints-mmh3  32000  1.10 |   0.03171   0.03167   0.02962 |    0.12    6.59 |    -1.0   -10.5 |   0.10
     ints-mmh3  32000  2.00 |   0.03137   0.03137   0.03145 |    0.00   -0.26 |     0.0     2.4 |   0.00
   ints-sha256   2000  1.00 |   0.03319   0.02214   0.03082 |   33.31    7.15 |   -14.7    -3.3 |  51.40
   ints-sha256   2000  1.02 |   0.03374   0.02517   0.02463 |   25.41   27.00 |   -11.2   -10.7 |  29.60
   ints-sha256   2000  1.10 |   0.03212   0.03209   0.02984 |    0.08    7.11 |    -1.3   -10.4 |   0.20
   ints-sha256   2000  2.00 |   0.03293   0.03293   0.03300 |    0.00   -0.22 |     0.0     2.2 |   0.00
   ints-sha256   8000  1.00 |   0.02930   0.01948   0.02934 |   33.52   -0.15 |   -14.5     0.1 |  51.10
   ints-sha256   8000  1.02 |   0.03010   0.02342   0.02306 |   22.18   23.38 |   -11.7   -10.6 |  27.10
   ints-sha256   8000  1.10 |   0.03087   0.03081   0.02876 |    0.21    6.84 |    -1.4    -9.3 |   0.20
   ints-sha256   8000  2.00 |   0.03037   0.03037   0.03048 |    0.00   -0.37 |     0.0     3.4 |   0.00
   ints-sha256  32000  1.00 |   0.03198   0.02029   0.02947 |   36.56    7.84 |   -15.3    -3.5 |  54.80
   ints-sha256  32000  1.02 |   0.03215   0.02344   0.02274 |   27.09   29.26 |   -12.9   -12.1 |  30.60
   ints-sha256  32000  1.10 |   0.03155   0.03153   0.02905 |    0.06    7.92 |    -1.0   -10.2 |   0.10
   ints-sha256  32000  2.00 |   0.03218   0.03218   0.03241 |    0.00   -0.69 |     0.0     6.7 |   0.00

      ideal-prng: d=1.0 avg clip dRMSE =  31.70%
     words-xxh64: d=1.0 avg clip dRMSE =  34.64%
      words-mmh3: d=1.0 avg clip dRMSE =  28.39%
    words-sha256: d=1.0 avg clip dRMSE =  30.67%
      urls-xxh64: d=1.0 avg clip dRMSE =  32.69%
       urls-mmh3: d=1.0 avg clip dRMSE =  29.74%
     urls-sha256: d=1.0 avg clip dRMSE =  31.79%
      ints-xxh64: d=1.0 avg clip dRMSE =  27.38%
       ints-mmh3: d=1.0 avg clip dRMSE =  31.08%
     ints-sha256: d=1.0 avg clip dRMSE =  34.46%

VERDICT (this seed): SURVIVES
runtime 285s
